"BEST.ZCH1_SOLL";"BEST.ZCH2_SOLL";"BEST.ZCH3_SOLL";"BEST.GESAMT_SOLL";"BEST.ZCH1_IST";"BEST.ZCH2_IST";"BEST.ZCH3_IST";"BEST.GESAMT_IST";"BEST.ZFW";"BEST.ZFW_NEW";"BEST.MIN_REL";"INDEX";"CORRECT_ZFW";"ERR_BEST_ZFW";"CORRECT_T1";"ERR_BEST_T1"
8;1;1;10;3;1;1;5;3,125;3,37415110857956;0,375;3043;TRUE;NA;TRUE;NA
8;1;1;10;4;1;1;6;2;3,39854827052193;0,5;4136;TRUE;NA;TRUE;NA
8;1;1;10;5;1;1;7;1,125;3,40562423664899;0,625;5236;TRUE;NA;TRUE;NA
8;1;1;10;6;1;1;8;0,5;3,40767649570886;0,75;6261;TRUE;NA;TRUE;NA
8;1;1;10;7;1;1;9;0,125;3,4082717172197;0,875;7140;TRUE;NA;TRUE;NA
8;1;1;10;8;1;1;10;0;3,4084443507112;1;7833;TRUE;NA;TRUE;NA
4;4;3;11;0;0;0;0;11;0;0;71;TRUE;NA;TRUE;NA
4;4;3;11;0;0;1;1;9,33333333333333;1;0;157;TRUE;NA;TRUE;NA
4;4;3;11;0;1;1;2;7,58333333333333;2;0;464;TRUE;NA;TRUE;NA
4;4;3;11;1;1;1;3;5,83333333333333;3;0,25;1152;TRUE;NA;TRUE;NA
4;4;3;11;1;2;1;4;4,58333333333333;3,08411876203952;0,25;1830;TRUE;NA;TRUE;NA
4;4;3;11;2;2;1;5;3,33333333333333;3,16823752407904;0,333;2844;TRUE;NA;TRUE;NA
4;4;3;11;2;2;2;6;2,33333333333333;3,20509485060709;0,5;3684;TRUE;NA;TRUE;NA
4;4;3;11;2;3;2;7;1,58333333333333;3,21217081673415;0,5;4652;TRUE;NA;TRUE;NA
4;4;3;11;3;3;2;8;0,833333333333333;3,21924678286121;0,667;5719;TRUE;NA;TRUE;NA
4;4;3;11;3;3;3;9;0,5;3,22060524538001;0,75;6557;TRUE;NA;TRUE;NA
4;4;3;11;3;4;3;10;0,25;3,22120046689085;0,75;7324;TRUE;NA;TRUE;NA
4;4;3;11;4;4;3;11;0;3,22179568840169;1;7967;TRUE;NA;TRUE;NA
5;3;3;11;0;0;0;0;11;0;0;70;TRUE;NA;TRUE;NA
5;3;3;11;0;0;1;1;9,33333333333333;1;0;156;TRUE;NA;TRUE;NA
5;3;3;11;0;1;1;2;7,66666666666667;2;0;463;TRUE;NA;TRUE;NA
5;3;3;11;1;1;1;3;5,86666666666667;3;0,2;1151;TRUE;NA;TRUE;NA
5;3;3;11;2;1;1;4;4,46666666666667;3,13801118920923;0,333;2027;TRUE;NA;TRUE;NA
5;3;3;11;2;1;2;5;3,46666666666667;3,17486851573727;0,333;2770;TRUE;NA;TRUE;NA
5;3;3;11;2;2;2;6;2,46666666666667;3,21172584226531;0,4;3683;TRUE;NA;TRUE;NA
5;3;3;11;3;2;2;7;1,46666666666667;3,23077293061226;0,6;4794;TRUE;NA;TRUE;NA
5;3;3;11;4;2;2;8;0,866666666666667;3,23340164192599;0,667;5860;TRUE;NA;FALSE;6556
5;3;3;11;4;3;2;9;0,533333333333333;3,23476010444479;0,667;6682;TRUE;NA;TRUE;NA
5;3;3;11;4;3;3;10;0,2;3,23611856696358;0,8;7373;TRUE;NA;TRUE;NA
5;3;3;11;5;3;3;11;0;3,23648135853808;1;8014;TRUE;NA;TRUE;NA
5;4;2;11;0;0;0;0;11;0;0;69;TRUE;NA;TRUE;NA
