

DGS(70.1) 69558-300Hi   (LSW(Ein)-DGL)   Letzte Änd. 23.11.2017 16:24 LLR029

Trasse;Zuggattung;TFZ - Standard;TFZ - Abschnittswirkend;Wagen;Wagenzuglänge;Gesamtlänge;Wagenzugmasse;Grenzlast;Gesamtmasse;V Wagenzug;V Konstruktion;Max. V;LZB-fähig;ETCS-Zugausrüstung;Bremsstellung;Bremshundertstel;Neigetechnik;LÜ-Charakteristik;LÜ-Abschnitt;LÜ-Text;Bef.Bes.;Sperrfahrt;Abweich. HV-Vmax;Anteil Regelzuschlag;CLuft;CLager;Verkehrt;Zugkl.;Rel. Halteplatzart;Kommentar
H6317 / Ä69558/2;DGS 70.1;151-1 (Reisezug/Güterzug (6,0MW)) (Zuglok, vorne);;0;610,0 m;629,5 m;1600,0 t;N;1718,0 t;100 km/h;;100 km/h;J;;P;68;;;;;HKP/C70 P/C400  SKL-GEFORDERT  LADEGUT  RM;N;;100 %;0,050;1,4;30.09.18 - 08.12.18 Sa (002 00);NGz;G;"AWHOD - DGL|Dradenau - LSW - Glauchau|H6317 -- HSL Logistik|KV P/C 70 P/C 400|Sk D4, LZB|alt: 69488;;;|NÄ zum 01.05.18 ausgelöst wg. Zs-Teilung||"

Btrst.;Btrst.(lang);Halt mind.;Ankunft;ZuHalt;Halt;ZuHalt;Abfahrt;ZLB;Endpunkt;Zuschlag Schlepp.;Zuschlag;Bauzuschlag;Fahrweg
Einbruch in LSW über 6899-0, Wunschabfahrt um 1/01:19.6 Uhr in LSW
LMAW;Markkleebg West;;;;;;1/05:27.4;;6379-0;00:09.6;;;LLP-1-LGW
LMAM;Markkleebg Mitte;;;;;;1/05:28.8;;6379-0;00:09.6;;;LLP-LGW
LGW;M-Gaschwitz;;;;;;1/05:32.9;;6362-1;00:09.7;;;ab 10/2018 LLP-8-LBO
LGD;Großdeuben;;;;;;1/05:35.7;;6362-1;00:09.7;;;LGW-LBO ab 10/2018
LBO;Böhlen (b Lpz);;;;;;1/05:38.1;;6362-1;00:09.7;;;LGW(6362)-2-LNK
LBWE;Böhlen Werke;;;;;;1/05:39.5;;6362-1;00:09.7;;;LBO-LNK
LNK;Neukieritzsch;;1/05:43.5;;+00:13.7;;1/05:57.2;;6362-2;00:09.7;-0.2 / -4,6%;;Bau LBO-1-LA RG ab 05/2018
LDTZ;Deutzen;;;;;;1/06:00.9;;6362-2;00:09.5;;;Bau LNK-LA G ab 05/2018
LRB;Regis-Breitingen;;;;;;1/06:04.4;;6362-1;00:09.5;;;Bau LNK-1-LA GR ab 05/2018
LQRB;Regis-Breit LGr;;;;;;;;6362-1;;;;LNK-LA
LTRL;Treben-Lehma;;;;;;1/06:09.4;;6362-1;00:09.5;;;LNK-LA
LA  W;Altenburg Pbf W1;;;;;;1/06:12.4;;6362-1;00:09.5;;;LNK-1-LA
LA;Altenburg;;;;;;1/06:15.4;;6362-1;00:09.6;;;LNK-1-DLH
LPD;Paditz;;;;;;1/06:20.2;;6362-1;00:09.6;0.4 / 12,9%;;LA-DLH
DLH;Lehndorf;;;;;;1/06:23.9;;6362-1;00:10.0;0.7 / 11,9%;;LA-DGZ
DGZ;Gößnitz;;;(Z 00:12.0);;;1/06:42.9;;6265-0;00:10.7;1.4 / 25,8%;;LA-7-DGLS H7s
DQMA;Meerane SN/TH;;;;;;;;6265-0;;;;DGZ-DGL
DMA;Meerane;;;;;;1/06:49.7;;6265-0;00:12.1;0.6 / 12,2%;;DGZ-1-DGL
DGLS;Glauchau-Schönb;;;;;;1/06:55.4;;6258-2;00:12.8;;;DGZ-DGL
D6956;Sbk 6956 (DGL);;;;;;1/06:56.0;;6258-2;00:12.8;0.5 / 13,8%;;DGLS-DGL
D6951;Sbk 6951 (DGL);;;;;;;;6258-2;;;;DGLS-DGL
DGLG;Glauchau Gewerbe;;;;;;;;6258-2;;;;DGLS-DGL
DGL;Glauchau (Sachs);00:30.0;1/07:00.0;;00:30.0;;(1/07:30.0);;6258-2;00:13.3;;;DGLS-15-DEG
